iteration,food_collected,food_remaining
50,0,30000
100,0,30000
150,0,30000
200,0,30000
250,45,29955
300,59,29896
350,47,29849
400,51,29798
450,24,29774
500,26,29748
550,17,29731
600,19,29712
650,27,29685
700,54,29631
750,49,29582
800,37,29545
850,36,29509
900,51,29458
950,47,29411
1000,29,29382
1050,16,29366
1100,25,29341
1150,40,29301
1200,34,29267
1250,24,29243
1300,13,29230
1350,17,29213
1400,16,29197
1450,17,29180
1500,20,29160
1550,16,29144
1600,20,29124
1650,41,29083
1700,32,29051
1750,38,29013
1800,25,28988
1850,35,28953
1900,32,28921
1950,36,28885
2000,38,28847
2050,58,28789
2100,67,28722
2150,40,28682
2200,39,28643
2250,35,28608
2300,48,28560
2350,48,28512
2400,39,28473
2450,42,28431
2500,48,28383
2550,73,28310
2600,58,28252
2650,38,28214
2700,40,28174
2750,44,28130
2800,61,28069
2850,57,28012
2900,43,27969
2950,38,27931
3000,51,27880
3050,52,27828
3100,84,27744
3150,73,27671
3200,40,27631
3250,46,27585
3300,54,27531
3350,57,27474
3400,51,27423
3450,43,27380
3500,15,27365
3550,11,27354
3600,8,27346
3650,2,27344
3700,5,27339
3750,1,27338
3800,2,27336
3850,2,27334
3900,5,27329
3950,4,27325
4000,6,27319
4050,4,27315
4100,1,27314
4150,2,27312
4200,2,27310
4250,2,27308
4300,1,27307
4350,1,27306
4400,1,27305
4450,3,27302
4500,3,27299
4550,4,27295
4600,1,27294
4650,0,27294
4700,0,27294
4750,0,27294
4800,3,27291
4850,1,27290
4900,2,27288
4950,5,27283
5000,4,27279
5050,11,27268
5100,8,27260
5150,7,27253
5200,16,27237
5250,19,27218
5300,22,27196
5350,34,27162
5400,32,27130
5450,40,27090
5500,50,27040
5550,39,27001
5600,32,26969
5650,31,26938
5700,44,26894
5750,28,26866
5800,48,26818
5850,49,26769
5900,35,26734
5950,15,26719
6000,8,26711
6050,8,26703
6100,8,26695
6150,4,26691
6200,2,26689
6250,8,26681
6300,4,26677
6350,2,26675
6400,10,26665
